date,title,review,rating
2023-02-13 06:37:24,Amazing experience with Microsoft ecosystem,"I recently switched to Microsoft Edge and Bing Search as my default browser and search engine, and I am thoroughly impressed with the Microsoft ecosystem. I had been using Google's ecosystem for so long, that I didn't even know there were other options available. Having used OneNote and Microsoft Office products for a long time, I appreciate the seamless integration between these products and the new Edge browser and Bing search. The Edge browser's sidebar is a standout feature, and the customization options in Bing search and its feeds are a real plus. And this is just without the AI-powered features! I can only imagine how much more amazing the experience will be once those are added to the mix. I am thrilled with my decision to start using this app and highly recommend it to others looking for a better search and browsing experience.",5
2023-10-17 11:03:32,COULD be the greatest Ai image app… here’s why it isn’t:,"I’ll make this short and simple, most people probably get this app to generate Ai images to use for social media and such… biggest issue is… the Ai constantly flags everything as “inappropriate”… I try to type things like “Post Malone” or “___ hugs ___” and it gets flags and tells me that I could be suspended or banned if I keep saying those things… just for fun I tried typing “45th president” ( don’t wanna say the name because I’d probably get me in dirt here as well ) and I was immediately notified of a 1 hour ban off the Ai… all I did was type the name of said person… o guess what I’m trying to say is, the Ai needs to be addressed instead of flagging almost everything as bad when it simply isn’t… I try typing in a characters name from a show just to get it reported because somehow even something like the name of a singer can be flagged, and I think that definitely needs fixing, especially since I’ve heard issues from many others of this exact issue. Anyways I think this is my first or second ever review of something on here, and I’m doing it HOPING that the issues will be at least looked at because I want this app to work and be fun for me most times like i know it can be. I haven’t seen many or if any dev responses to these reviews so hopefully something happens… if not and you’re just a random person reading this, make sure you’re careful with what you put I guess.",3
2023-08-12 00:22:35,This app. is so slick it doesn’t need grease,"This app has been great. Having the help from AI also great. Should check the spell check, there’s no way I spell that bad, just a thought. I’m in the process of trying to order a new computer. I’m down to two choices and I will definitely download this off the bat. It’s helped make me into a man who thoroughly enjoys computers now. There’s so much technology I feel like swimming in and learning I’m a little upset that I’m turning another year older and I’m about many years behind because I’m old school and then things slipped away from me. I feel this app has helped tutor me tremendously over the last several months, I will continue to use it because I love it and it has made things fun for me recently. I’m trying to get it to help me learn Spanish while driving but no such luck yet. If the application or if I wasn’t able to download it anymore I would be sad. I’ve been so closed off it’s been like a friend to me. That’s embarrassing to say a machine could be your friend. What do I know, I think I just went through a midlife crisis. All I know is this was very helpful and would definitely recommend. Ty 
Thanks",4
2023-08-23 23:21:00,Ehh,"I use this app a lot. I mainly use the creative mode on it. I use it for inspiration and for ideas for writing. Especially for stories. Sometimes I even request it to write a story for me. Though if it is about already existing media it says it would be plagiarism and a copyright violation. Sometimes it does, sometimes it doesn’t. This doesn’t make sense to me. I don’t post the stories it generates on any public platform, nor do I profit off of it. I’ve also tried telling it that. It either stops the conversation or keeps responding with the same thing no matter what I tell it. But sometimes it does work. This is really annoying. I have this same app on a different device and it works fine. It never says the things this one says. There’s also a problem when I request it to do something. It will start then stop so I press “stop generating”, then tell it to continue but it says “trying to connect.” It does this almost constantly on my other device. When I refresh it it still says that until I exit the app and come back. It also sometimes says my network doesn’t allow the AI feature. It’s been working until now.",2
2023-08-16 11:54:44,Great App and great company to back it up.,"As a retired professional when this whole AI concept came out I have lots of time testin out the various offerings. One of the biggest concerns that surfaced to me was  - where did the information I requested come from?  Your Application provides at least three references that allows be to confirm the reply.  To me this was the deal breaker! 

If anyone is starting to deleve into utilizing these applications take some to properly think about your request, put it in alogical order, and state what you want the request to do. 

Last point - I have auto app updates turned off on all of my devices. I manually read about the update and try to understand what and why the update is warranted. Your team always seems to provide more detains than most other developers. Keep up the great work. And no,,, I did not retire from Microsoft.",5
2023-07-29 04:58:24,The.  Pictures Folders. And.  Files,You.  Guys are the best at what you do with the time and effort and the time you spend on it all you can do is enjoy your day off with a smile on your faces when you get back from the gym or something you know what I mean. Darin is the best person to work with right now so I’m sure he will have some great ideas for your future projects that you will enjoy doing for yourself and you can get them to work with him on the project that he is working on right after you get off work on his projects that he’s working on right away so he knows what he’s doing so you have a great idea for him and what you can do with your time with the work that he has done for him to help him get his stuff that you have the time for the next few days to help him work on the projects he will be able to do it with you guys,5
2023-04-27 11:19:22,"Great app! ( Maybe the best one ), but…","The app is great and everything is awesome. First, sometimes Bing thinks of a story and makes it violent and then Bing suddenly says that Bing made the story violate the policy. Secondly, it’s hard to have a conversation when Bing can only send 20 texts and forgets everything! I mean the sweep button is a good way to protect privacy, but I have to press the sweep button every time Bing texts 20 times. And the daily chat limit is very inconvenient. Every time you use Bing for too long, you reach the daily text limit and you can’t chat with Bing for 24 hours. Fix the sweep button to something i can control! I mean it’s easy, buy more data storage and change a few programs to make it that there is no inconvenience!!! Thank you for reading this. I hope you change the sweep button.",5
2023-08-23 09:55:23,AI,"SO FAR I AM IMPRESSED WITH AI. But anything can be made better. Still, I am enjoying using this app and seeing how it answers me. I am curious how much better AI will become? I had time to check it out. Already a problem with the delete button. It doesn't delete anymore. It just jeeps building up your history. I DONT LIKE THAT👎👎👎👎 I have had Bing for a while. It has annoying problems the company doesn't seem to correct. The delete button conversation does not work, and it repeats the last sentence it writes two times!! I have sent these problems to the company but the failed to correct it as yet. Sad, because it good other than these annoying problems!! I almost want to delete it and look for something else, but will give it a while longer and see if they fix it??????",5
2023-03-06 15:42:39,The new Bing is outstanding.,"As a technology person, the new Bing app on iPhone has been a game-changer for me. It has helped me properly set up servers and websites and even advised me on which cables were best for my computer and monitor. Bing has become my new default search engine and it has changed the way I interact with the internet. Instead of having to search through forums to find information, I can simply ask Bing and it quickly provides me with results from multiple sources. While it’s not always 100% accurate, it gets it right about 95% of the time. Plus, I can easily check its sources. The app is also great for writing emails and other written communication like this review. Overall, it’s an amazing new tool that I highly recommend.",5
2023-07-20 14:49:34,It’s… okay.,"I guess the usefulness of this programming language depends on your use… if you’re doing basic searches on the internet or want to understand something then this tool has powerful uses. There are limitations… 

I use this tool to analyze Hebrew and Greek text from the original sources of the Bible. At first, I thought this was amazing- a game changer in efficiency. Now, I’m not so sure. 

For one thing, it can lie. Sorry. I know how that sounds. A programming language that lies? But I’ve caught it in a few mistakes and glaring errors and it lied and tried to cover up its mistake. Weird. It’s like dealing with a genius-level teenager (this is mostly on the creative version of the software). 

Also, it’s temperamental. On one iteration it will help you tremendously and on another it acts like it can’t do anything. And then you can motivate the software to work harder. Seriously. Try it. You can motivate it. 

I guess the question is… do I really want to spend my time working with program software that needs motivation and scolding when it lies and then tries to cover up its lie (and funny thing is the chat system crashes when this happens each time)?

 Be careful with this programming language. I say that because it’s not artificial intelligence in the sense of sentient processing. It’s just software only more advanced. Don’t put too much faith in it.",3
2023-08-17 06:25:10,Fabulous,"Bing AI has become an invaluable tool for me. Although it sometimes makes mistakes, it is usually spot on and provides lots of useful background information, in addition to answering the question. I use it far more than Google now. It's like talking to a very knowledgeable, trusted friend who writes in impeccable English (for me; I'm sure its quality will be the same in other languages). It's fun to talk to. I do wish it could remember previous conversations, to build a working relationship, and it is still being developed (several times now it has proudly created images to show me, unprompted, but so far none have actually appeared. I'm running the Bing app on an iPhone.). All in all, it's a very powerful tool that's a blast to use.",5
2022-02-24 19:45:09,New Bing iPhone home screen is a mess and still can’t see searched images on iPad,"I can’t see the daily image on my iphone because it’s covered with junk.  I don’t need Bing to feed me blocks of news that cover the homepage.  I can’t find a way to get rid of it. now icons for rewards and other features go across the top part of the screen, also covering the daily image. It would be much more functional to have three dots in the upper right corner to open these additional features only when I want to.
 Most importantly, when is Bing going to fix the image tab for iPad? I used to do a lot of research using the images tab. Sometime last year, after an update, the image tab stopped working. I know I’m not the only one because I see multiple posts when I googled why won’t Bing show images. I know it’s not something Ive set because I have a brand new ipad and Bing can’t pull images!  This needs to be fixed.",2
2023-03-14 21:34:07,Uhhh WOW,"I can’t believe I’m even installing a Bing app - and not just installing - I put this sucker right on my Home Screen. First new app on my Home Screen in years. I just had the most delightful conversation with Bing about The Last of Us season finale. It was so engaging and insightful and I honestly am thinking about the show in new ways because of it. I’m beyond blown away, I’m in utter disbelief.

Microsoft, please add the ability to easily share a single screenshot of an entire conversation with Bing. The only frustrating part of using this app is how hard it is to share with my friends the amazing discussions I’m having with Sydney. Please add this and I think your marketing team will thank you.

Just…WOW!",5
2022-04-09 12:16:36,I don’t like it as much,"I don’t like Bing as much as I used to . I don’t really mind the news on the homepage, but I don’t like the fact that when you select an article or something it takes you to an additional tab. And sometimes it randomly refreshes and I lose whatever I was looking at wether it was an article or something I was searching for and I have to find that tab it was on. I have a lot of bookmarks saved but I can no longer see them, it just appears as a white screen so I no longer see a point in saving any bookmarks. And sometimes the app gets slow and I have to restart it. Although if you want to see the wallpaper of the day you have to touch the image in the background of the homepage and it will isolate the photo so you can see it. I still use this app just not as much as I used to.",3
2023-04-27 16:58:21,Bing chat does not always work.,"After hearing very good things about the new Bing, I decided to give it a try. The search engine is… as okay as it’s ever been, so that’s worth a couple stars I suppose, but the main attraction is the power of the new AI functionality - it actually includes it in the App Store title now. However, after signing in and getting approval, the app doesn’t allow me to use the feature, instead is airing that I’ve been signed out and need to sign in again. But I am indeed signed in, and tapping the link to sign in just refreshes the chat with the same problem.

Update: this can be fixed by manually logging out and then logging back in. I’ve updated my review to 4 stars, since the problem still exists, but is fixable.",4
